Depth  Name          #Inst  Area (um^2) 
----------------------------------------
0      multiplier    16850  21269.53728 
###############################################################
#  Generated by:      Cadence Innovus 18.15-s095_1
#  OS:                Linux x86_64(Host ID edasrv1)
#  Generated on:      Sun Sep  7 19:18:12 2025
#  Design:            multiplier
#  Command:           report_timing >> ${RPT_DIR}/innovus_${DESIGN_NAME}.log
###############################################################
Path 1: MET Path Delay Check
Endpoint:   f[127] (^)
Beginpoint: b[2]   (v) triggered by  leading edge of '@'
Path Groups: {default}
Analysis View: view_tc
- External Delay                0.000
+ Path Delay                  10000.000
= Required Time               10000.000
- Arrival Time                5688.406
= Slack Time                  4311.594
     Clock Rise Edge                      0.000
     + Input Delay                        0.000
     = Beginpoint Arrival Time            0.000
     +-----------------------------------------------------------------------------------+ 
     | Instance |     Arc     |          Cell           |  Delay  |  Arrival |  Required | 
     | U16547   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  18.300 |  741.806 |  5053.399 | 
     | U16548   | B ^ -> Y v  | OAI21xp33_ASAP7_75t_L   |  16.900 |  758.706 |  5070.299 | 
     | U16549   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  20.900 |  779.605 |  5091.199 | 
     | U16550   | B ^ -> Y v  | OAI21xp33_ASAP7_75t_L   |  14.800 |  794.405 |  5105.999 | 
     | U16551   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  19.400 |  813.805 |  5125.399 | 
     | U16552   | B ^ -> Y v  | OAI21xp33_ASAP7_75t_L   |  13.900 |  827.705 |  5139.299 | 
     | U16553   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  18.800 |  846.505 |  5158.099 | 
     | U16554   | B ^ -> Y v  | OAI21xp33_ASAP7_75t_L   |  13.800 |  860.305 |  5171.898 | 
     | U16555   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  20.400 |  880.705 |  5192.298 | 
     | U16556   | B ^ -> Y v  | OAI21xp33_ASAP7_75t_L   |  15.200 |  895.905 |  5207.499 | 
     | U16557   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  19.300 |  915.205 |  5226.799 | 
     | U16558   | B ^ -> Y v  | OAI21xp33_ASAP7_75t_L   |  14.000 |  929.205 |  5240.799 | 
     | U16559   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  19.100 |  948.305 |  5259.899 | 
     | U16560   | B ^ -> Y v  | OAI21xp33_ASAP7_75t_L   |  14.200 |  962.505 |  5274.099 | 
     | U16561   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  18.700 |  981.206 |  5292.799 | 
     | U16562   | B ^ -> Y v  | OAI21xp33_ASAP7_75t_L   |  14.200 |  995.406 |  5307.000 | 
     | U16563   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  19.100 | 1014.506 |  5326.100 | 
     | U16564   | B ^ -> Y v  | OAI21xp33_ASAP7_75t_L   |  25.500 | 1040.006 |  5351.600 | 
     | U16565   | C v -> Y ^  | MAJIxp5_ASAP7_75t_L     |  28.000 | 1068.006 |  5379.600 | 
     | U16569   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  29.300 | 1097.306 |  5408.900 | 
     | U16571   | B v -> Y ^  | AOI21xp33_ASAP7_75t_L   |  29.800 | 1127.106 |  5438.700 | 
     | U16572   | A ^ -> Y v  | INVxp33_ASAP7_75t_L     |  18.200 | 1145.306 |  5456.900 | 
     | U16573   | A1 v -> Y ^ | A2O1A1Ixp33_ASAP7_75t_L |  22.000 | 1167.306 |  5478.900 | 
     | U16574   | B ^ -> Y ^  | OR2x2_ASAP7_75t_L       |  22.300 | 1189.606 |  5501.200 | 
     | U16575   | B ^ -> Y v  | NAND2xp33_ASAP7_75t_L   |  16.600 | 1206.206 |  5517.800 | 
     | U16576   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  17.600 | 1223.806 |  5535.400 | 
     | U16577   | B ^ -> Y v  | OAI21xp33_ASAP7_75t_L   |  13.600 | 1237.406 |  5549.000 | 
     | U16578   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  19.500 | 1256.906 |  5568.500 | 
     | U16579   | B ^ -> Y v  | OAI21xp33_ASAP7_75t_L   |  13.600 | 1270.506 |  5582.100 | 
     | U16580   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  20.100 | 1290.606 |  5602.200 | 
     | U16581   | B ^ -> Y v  | OAI21xp33_ASAP7_75t_L   |  14.000 | 1304.606 |  5616.200 | 
     | U16582   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  20.300 | 1324.906 |  5636.500 | 
     | U16583   | B ^ -> Y v  | OAI21xp33_ASAP7_75t_L   |  14.100 | 1339.006 |  5650.600 | 
     | U16584   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  19.300 | 1358.306 |  5669.900 | 
     | U16585   | B ^ -> Y v  | OAI21xp33_ASAP7_75t_L   |  13.900 | 1372.206 |  5683.800 | 
     | U16586   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  19.000 | 1391.206 |  5702.800 | 
     | U16587   | B ^ -> Y v  | OAI21xp33_ASAP7_75t_L   |  13.600 | 1404.806 |  5716.400 | 
     | U16588   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  19.100 | 1423.906 |  5735.500 | 
     | U16589   | B ^ -> Y v  | OAI21xp33_ASAP7_75t_L   |  14.200 | 1438.106 |  5749.700 | 
     | U16590   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  18.900 | 1457.006 |  5768.600 | 
     | U16591   | B ^ -> Y v  | OAI21xp33_ASAP7_75t_L   |  14.100 | 1471.106 |  5782.700 | 
     | U16592   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  19.500 | 1490.606 |  5802.200 | 
     | U16593   | B ^ -> Y v  | OAI21xp33_ASAP7_75t_L   |  14.400 | 1505.006 |  5816.600 | 
     | U16594   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  19.800 | 1524.807 |  5836.400 | 
     | U16595   | B ^ -> Y v  | OAI21xp33_ASAP7_75t_L   |  13.800 | 1538.606 |  5850.200 | 
     | U16596   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  19.700 | 1558.307 |  5869.900 | 
     | U16597   | B ^ -> Y v  | OAI21xp33_ASAP7_75t_L   |  14.300 | 1572.607 |  5884.201 | 
     | U16598   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  19.900 | 1592.507 |  5904.101 | 
     | U16599   | B ^ -> Y v  | OAI21xp33_ASAP7_75t_L   |  13.700 | 1606.207 |  5917.800 | 
     | U16600   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  19.600 | 1625.807 |  5937.400 | 
     | U16601   | B ^ -> Y v  | OAI21xp33_ASAP7_75t_L   |  14.400 | 1640.207 |  5951.800 | 
     | U16602   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  18.900 | 1659.106 |  5970.700 | 
     | U16603   | B ^ -> Y v  | OAI21xp33_ASAP7_75t_L   |  14.000 | 1673.106 |  5984.700 | 
     | U16604   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  18.800 | 1691.907 |  6003.500 | 
     | U16605   | B ^ -> Y v  | OAI21xp33_ASAP7_75t_L   |  14.000 | 1705.907 |  6017.500 | 
     | U16606   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  28.500 | 1734.407 |  6046.000 | 
     | U16608   | B ^ -> Y ^  | OA21x2_ASAP7_75t_L      |  22.600 | 1757.007 |  6068.601 | 
     | U16611   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  12.200 | 1769.207 |  6080.801 | 
     | U16612   | B v -> Y ^  | AOI21xp33_ASAP7_75t_L   |  29.800 | 1799.007 |  6110.601 | 
     | U16614   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  21.900 | 1820.907 |  6132.501 | 
     | U16615   | C v -> Y ^  | O2A1O1Ixp33_ASAP7_75t_L |  21.700 | 1842.607 |  6154.201 | 
     | U16618   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  17.500 | 1860.107 |  6171.701 | 
     | U16619   | B v -> Y ^  | AOI21xp33_ASAP7_75t_L   |  25.900 | 1886.007 |  6197.601 | 
     | U16622   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  18.500 | 1904.507 |  6216.101 | 
     | U16623   | B v -> Y ^  | AOI21xp33_ASAP7_75t_L   |  25.800 | 1930.307 |  6241.901 | 
     | U16626   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  21.400 | 1951.707 |  6263.301 | 
     | U16627   | B v -> Y ^  | AOI21xp33_ASAP7_75t_L   |  27.600 | 1979.307 |  6290.901 | 
     | U16630   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  21.600 | 2000.907 |  6312.501 | 
     | U16631   | B v -> Y ^  | AOI21xp33_ASAP7_75t_L   |  27.800 | 2028.707 |  6340.301 | 
     | U16634   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  22.500 | 2051.207 |  6362.801 | 
     | U16635   | B v -> Y ^  | AOI21xp33_ASAP7_75t_L   |  28.200 | 2079.407 |  6391.000 | 
     | U16638   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  19.600 | 2099.007 |  6410.601 | 
     | U16639   | B v -> Y ^  | AOI21xp33_ASAP7_75t_L   |  26.300 | 2125.307 |  6436.900 | 
     | U16642   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  19.500 | 2144.807 |  6456.400 | 
     | U16643   | B v -> Y ^  | AOI21xp33_ASAP7_75t_L   |  26.800 | 2171.607 |  6483.201 | 
     | U16646   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  19.800 | 2191.407 |  6503.000 | 
     | U16647   | B v -> Y ^  | AOI21xp33_ASAP7_75t_L   |  26.600 | 2218.007 |  6529.601 | 
     | U16650   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  21.200 | 2239.207 |  6550.801 | 
     | U16651   | B v -> Y ^  | AOI21xp33_ASAP7_75t_L   |  27.900 | 2267.107 |  6578.701 | 
     | U16669   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  20.400 | 2287.507 |  6599.101 | 
     | U16670   | B v -> Y ^  | AOI21xp33_ASAP7_75t_L   |  26.900 | 2314.407 |  6626.000 | 
     | U16673   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  21.400 | 2335.807 |  6647.400 | 
     | U16674   | B v -> Y ^  | AOI21xp33_ASAP7_75t_L   |  28.000 | 2363.807 |  6675.400 | 
     | U16677   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  21.700 | 2385.507 |  6697.101 | 
     | U16678   | B v -> Y ^  | AOI21xp33_ASAP7_75t_L   |  26.900 | 2412.407 |  6724.000 | 
     | U23899   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  22.900 | 2435.307 |  6746.901 | 
     | U23900   | B v -> Y ^  | AOI21xp33_ASAP7_75t_L   |  29.800 | 2465.107 |  6776.701 | 
     | U24364   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  23.100 | 2488.208 |  6799.801 | 
     | U24365   | B v -> Y ^  | AOI21xp33_ASAP7_75t_L   |  27.300 | 2515.508 |  6827.102 | 
     | U24396   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  27.300 | 2542.808 |  6854.401 | 
     | U24397   | B v -> Y ^  | AOI21xp33_ASAP7_75t_L   |  30.100 | 2572.908 |  6884.501 | 
     | U24873   | A1 ^ -> Y v | OAI21xp33_ASAP7_75t_SL  |  98.600 | 2671.508 |  6983.102 | 
     | U25123   | A v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  84.900 | 2756.408 |  7068.001 | 
     | U25124   | A ^ -> Y v  | INVxp67_ASAP7_75t_L     |  85.100 | 2841.508 |  7153.102 | 
     | U25125   | B v -> Y ^  | AOI21xp5_ASAP7_75t_L    | 167.900 | 3009.408 |  7321.002 | 
     | U25126   | A ^ -> Y v  | INVxp33_ASAP7_75t_L     |  72.200 | 3081.608 |  7393.202 | 
     | U25131   | A1 v -> Y ^ | OAI211xp5_ASAP7_75t_L   |  47.600 | 3129.208 |  7440.802 | 
     | U25132   | A ^ -> Y v  | INVxp33_ASAP7_75t_L     |  25.700 | 3154.908 |  7466.501 | 
     | U25133   | B v -> SN v | HAxp5_ASAP7_75t_L       |  31.500 | 3186.408 |  7498.001 | 
     | U25134   | A v -> Y ^  | INVxp33_ASAP7_75t_L     |  18.900 | 3205.308 |  7516.901 | 
     | U25139   | A ^ -> SN ^ | HAxp5_ASAP7_75t_L       |  22.800 | 3228.107 |  7539.701 | 
     | U25140   | B ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  17.700 | 3245.808 |  7557.401 | 
     | U25143   | B v -> Y ^  | NOR2xp33_ASAP7_75t_L    |  19.600 | 3265.408 |  7577.001 | 
     | U25378   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  19.900 | 3285.308 |  7596.902 | 
     | U25381   | B v -> Y ^  | NOR2xp33_ASAP7_75t_L    |  18.600 | 3303.908 |  7615.502 | 
     | U25615   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  19.400 | 3323.308 |  7634.902 | 
     | U25618   | B v -> Y ^  | NOR2xp33_ASAP7_75t_L    |  18.600 | 3341.908 |  7653.502 | 
     | U25845   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  19.000 | 3360.908 |  7672.502 | 
     | U25848   | B v -> Y ^  | NOR2xp33_ASAP7_75t_L    |  18.100 | 3379.008 |  7690.602 | 
     | U26070   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  19.100 | 3398.108 |  7709.702 | 
     | U26073   | B v -> Y ^  | NOR2xp33_ASAP7_75t_L    |  19.600 | 3417.708 |  7729.302 | 
     | U26300   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  19.100 | 3436.809 |  7748.402 | 
     | U26303   | B v -> Y ^  | NOR2xp33_ASAP7_75t_L    |  18.800 | 3455.608 |  7767.202 | 
     | U26514   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  20.500 | 3476.108 |  7787.702 | 
     | U27119   | B v -> Y ^  | NOR2xp33_ASAP7_75t_L    |  35.500 | 3511.608 |  7823.202 | 
     | U27127   | A ^ -> Y v  | MAJIxp5_ASAP7_75t_L     |  19.200 | 3530.809 |  7842.402 | 
     | U27130   | A v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  24.700 | 3555.508 |  7867.102 | 
     | U27131   | B ^ -> Y v  | NAND2xp33_ASAP7_75t_L   |  21.800 | 3577.309 |  7888.902 | 
     | U27136   | B v -> Y ^  | MAJIxp5_ASAP7_75t_L     |  21.000 | 3598.309 |  7909.902 | 
     | U27336   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  19.500 | 3617.809 |  7929.402 | 
     | U28487   | B v -> Y ^  | NOR2xp33_ASAP7_75t_L    |  35.300 | 3653.108 |  7964.702 | 
     | U28494   | A ^ -> Y v  | MAJIxp5_ASAP7_75t_L     |  21.200 | 3674.309 |  7985.902 | 
     | U28495   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  23.700 | 3698.009 |  8009.603 | 
     | U28496   | B ^ -> Y v  | NAND2xp33_ASAP7_75t_L   |  18.700 | 3716.708 |  8028.302 | 
     | U28497   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  22.800 | 3739.509 |  8051.103 | 
     | U28498   | B ^ -> Y v  | NAND2xp33_ASAP7_75t_L   |  18.700 | 3758.209 |  8069.803 | 
     | U28499   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  23.000 | 3781.209 |  8092.803 | 
     | U28500   | B ^ -> Y v  | NAND2xp33_ASAP7_75t_L   |  18.200 | 3799.409 |  8111.003 | 
     | U28501   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  22.500 | 3821.909 |  8133.503 | 
     | U28502   | B ^ -> Y v  | NAND2xp33_ASAP7_75t_L   |  20.600 | 3842.509 |  8154.103 | 
     | U28503   | C v -> Y ^  | MAJIxp5_ASAP7_75t_L     |  19.400 | 3861.910 |  8173.503 | 
     | U28680   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  20.600 | 3882.510 |  8194.104 | 
     | U29717   | B v -> Y ^  | NOR2xp33_ASAP7_75t_L    |  35.600 | 3918.109 |  8229.703 | 
     | U29723   | A ^ -> Y v  | MAJIxp5_ASAP7_75t_L     |  19.700 | 3937.809 |  8249.402 | 
     | U29726   | A v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  25.600 | 3963.408 |  8275.002 | 
     | U29727   | B ^ -> Y v  | NAND2xp33_ASAP7_75t_L   |  18.100 | 3981.508 |  8293.102 | 
     | U29728   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  22.600 | 4004.107 |  8315.701 | 
     | U29729   | B ^ -> Y v  | NAND2xp33_ASAP7_75t_L   |  17.600 | 4021.707 |  8333.301 | 
     | U29730   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  22.300 | 4044.008 |  8355.602 | 
     | U29731   | B ^ -> Y v  | NAND2xp33_ASAP7_75t_L   |  17.900 | 4061.908 |  8373.502 | 
     | U29732   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  22.700 | 4084.607 |  8396.201 | 
     | U29733   | B ^ -> Y v  | NAND2xp33_ASAP7_75t_L   |  22.200 | 4106.807 |  8418.400 | 
     | U29739   | B v -> Y ^  | MAJIxp5_ASAP7_75t_L     |  24.000 | 4130.807 |  8442.400 | 
     | U29901   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  21.900 | 4152.707 |  8464.301 | 
     | U29904   | B v -> Y ^  | NOR2xp33_ASAP7_75t_L    |  19.800 | 4172.508 |  8484.102 | 
     | U30062   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  22.100 | 4194.607 |  8506.201 | 
     | U30065   | B v -> Y ^  | NOR2xp33_ASAP7_75t_L    |  20.500 | 4215.107 |  8526.701 | 
     | U30225   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  19.700 | 4234.808 |  8546.401 | 
     | U30228   | B v -> Y ^  | NOR2xp33_ASAP7_75t_L    |  18.800 | 4253.607 |  8565.201 | 
     | U30378   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  18.600 | 4272.208 |  8583.802 | 
     | U30381   | B v -> Y ^  | NOR2xp33_ASAP7_75t_L    |  18.300 | 4290.508 |  8602.102 | 
     | U30531   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  18.900 | 4309.408 |  8621.002 | 
     | U30534   | B v -> Y ^  | NOR2xp33_ASAP7_75t_L    |  18.400 | 4327.809 |  8639.402 | 
     | U30681   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  18.900 | 4346.709 |  8658.303 | 
     | U30684   | B v -> Y ^  | NOR2xp33_ASAP7_75t_L    |  18.100 | 4364.809 |  8676.402 | 
     | U30814   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  18.600 | 4383.408 |  8695.002 | 
     | U30817   | B v -> Y ^  | NOR2xp33_ASAP7_75t_L    |  18.100 | 4401.509 |  8713.103 | 
     | U30946   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  18.700 | 4420.209 |  8731.803 | 
     | U30949   | B v -> Y ^  | NOR2xp33_ASAP7_75t_L    |  18.200 | 4438.409 |  8750.003 | 
     | U31075   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  18.700 | 4457.109 |  8768.703 | 
     | U31078   | B v -> Y ^  | NOR2xp33_ASAP7_75t_L    |  18.400 | 4475.510 |  8787.104 | 
     | U31200   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  18.700 | 4494.210 |  8805.804 | 
     | U31203   | B v -> Y ^  | NOR2xp33_ASAP7_75t_L    |  18.300 | 4512.510 |  8824.104 | 
     | U31324   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  18.900 | 4531.410 |  8843.004 | 
     | U31327   | B v -> Y ^  | NOR2xp33_ASAP7_75t_L    |  18.100 | 4549.510 |  8861.104 | 
     | U31444   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  18.400 | 4567.910 |  8879.504 | 
     | U31447   | B v -> Y ^  | NOR2xp33_ASAP7_75t_L    |  17.900 | 4585.810 |  8897.403 | 
     | U31554   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  18.700 | 4604.510 |  8916.104 | 
     | U31557   | B v -> Y ^  | NOR2xp33_ASAP7_75t_L    |  18.500 | 4623.010 |  8934.604 | 
     | U31664   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  19.100 | 4642.109 |  8953.703 | 
     | U31667   | B v -> Y ^  | NOR2xp33_ASAP7_75t_L    |  18.300 | 4660.409 |  8972.003 | 
     | U31771   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  18.800 | 4679.209 |  8990.803 | 
     | U31774   | B v -> Y ^  | NOR2xp33_ASAP7_75t_L    |  18.400 | 4697.609 |  9009.203 | 
     | U31875   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  18.900 | 4716.510 |  9028.104 | 
     | U31878   | B v -> Y ^  | NOR2xp33_ASAP7_75t_L    |  18.100 | 4734.609 |  9046.203 | 
     | U31978   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  18.800 | 4753.409 |  9065.003 | 
     | U31981   | B v -> Y ^  | NOR2xp33_ASAP7_75t_L    |  18.200 | 4771.609 |  9083.203 | 
     | U32068   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  20.400 | 4792.010 |  9103.604 | 
     | U32071   | B v -> Y ^  | NOR2xp33_ASAP7_75t_L    |  19.400 | 4811.410 |  9123.004 | 
     | U32153   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  20.500 | 4831.910 |  9143.504 | 
     | U32156   | B v -> Y ^  | NOR2xp33_ASAP7_75t_L    |  23.600 | 4855.510 |  9167.104 | 
     | U32243   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  21.700 | 4877.209 |  9188.803 | 
     | U32246   | B v -> Y ^  | NOR2xp33_ASAP7_75t_L    |  19.000 | 4896.208 |  9207.802 | 
     | U32328   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  19.300 | 4915.508 |  9227.102 | 
     | U32331   | B v -> Y ^  | NOR2xp33_ASAP7_75t_L    |  18.200 | 4933.708 |  9245.302 | 
     | U32405   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  19.300 | 4953.008 |  9264.602 | 
     | U32408   | B v -> Y ^  | NOR2xp33_ASAP7_75t_L    |  19.200 | 4972.207 |  9283.801 | 
     | U32482   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  19.200 | 4991.406 |  9303.000 | 
     | U32485   | B v -> Y ^  | NOR2xp33_ASAP7_75t_L    |  18.000 | 5009.406 |  9321.000 | 
     | U32555   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  18.800 | 5028.206 |  9339.800 | 
     | U32558   | B v -> Y ^  | NOR2xp33_ASAP7_75t_L    |  18.700 | 5046.906 |  9358.500 | 
     | U32621   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  19.900 | 5066.807 |  9378.400 | 
     | U32624   | B v -> Y ^  | NOR2xp33_ASAP7_75t_L    |  19.500 | 5086.307 |  9397.900 | 
     | U32683   | A ^ -> Y v  | NOR2xp33_ASAP7_75t_L    |  19.600 | 5105.907 |  9417.501 | 
